year,country_id,gdp,country_label
2016,CH,646000000000.0,Switzerland
2017,CH,665000000000.0,Switzerland
2018,CH,694000000000.0,Switzerland
2019,CH,710000000000.0,Switzerland
2020,CH,705000000000.0,Switzerland
2021,CH,721000000000.0,Switzerland
2022,CH,840000000000.0,Switzerland
2023,CH,885000000000.0,Switzerland
2016,DE,3147000000000.0,Germany
2017,DE,3266000000000.0,Germany
2018,DE,3411000000000.0,Germany
2019,DE,3440000000000.0,Germany
2020,DE,3333000000000.0,Germany
2021,DE,3570000000000.0,Germany
2022,DE,3872000000000.0,Germany
2023,DE,4121000000000.0,Germany
2016,AT,355000000000.0,Austria
2017,AT,366000000000.0,Austria
2018,AT,377000000000.0,Austria
2019,AT,382000000000.0,Austria
2020,AT,373000000000.0,Austria
2021,AT,396000000000.0,Austria
2022,AT,426000000000.0,Austria
2023,AT,448000000000.0,Austria
